Name,Stream,Url
3sat,https://zdf0910-lh.akamaihd.net/i/dach10_v1@392872/index_1456_av-b.m3u8,http://www.3sat.de/
Das Erste,http://live-lh.daserste.de/i/daserste_de@91204/index_2692_av-b.m3u8,http://www.daserste.de/
ARTE,https://artelivessl-i.akamaihd.net/hls/live/262216/artelive_de/master_720.m3u8,http://www.arte.tv/
KiKa,http://kika_geo-lh.akamaihd.net/i/livetvkika_de@75114/index_3776_av-b.m3u8,http://www.kika.de/
ZDF,http://zdf1314-lh.akamaihd.net/i/de14_v1@392878/index_3056_av-p.m3u8,https://www.zdf.de/
ZDF.info,http://zdf1112-lh.akamaihd.net/i/de12_v1@392882/index_3056_av-b.m3u8,https://www.zdf.de/
BR,http://livestreams.br.de/i/bfssued_germany@119890/index_3776_av-b.m3u8,http://www.br.de/
BR-Alpha,http://livestreams.br.de/i/bralpha_germany@119899/index_3776_av-b.m3u8,http://www.br.de/fernsehen/ard-alpha/
MDR,http://mdr_th_hls-lh.akamaihd.net/i/livetvmdrthueringen_de@106903/index_1728_av-p.m3u8,http://www.mdr.de/
NDR,http://ndr_fs-lh.akamaihd.net/i/ndrfs_nds@119224/index_3776_av-b.m3u8,https://www.ndr.de/
RBB,http://rbb_live-lh.akamaihd.net/i/rbb_berlin@108248/index_1728_av-b.m3u8,https://www.rbb-online.de/
SR,http://live2_sr-lh.akamaihd.net/i/sr_universal02@107595/index_1662_av-p.m3u8,http://www.sr.de/
SWR,http://swrbw-lh.akamaihd.net/i/swrbw_live@196738/index_3584_av-b.m3u8,http://www.swr.de/
WDR,http://wdr_fs_geo-lh.akamaihd.net/i/wdrfs_geogeblockt@112044/index_3776_av-b.m3u8,http://www1.wdr.de/
